Postcode,Stroke Team,long,lat,LSOA11CD,LSOA11NM,LSOA11NMW,LSOA11NMW,LSOA11BNG_E,LSOA11BNG_N,LSOA11LONG,LSOA11LAT,MSOA11CD,MSOA11NM,CCG19CD,CCG19NM,ICB22CD,ICB22NM,LAD17CD,LAD17NM,STP19CD,STP19NM,LHB20CD,LHB20NM,LHB20NMW,SCN17CD,SCN17NM,RGN11CD,RGN11NM,CTRY11NM
B152TH,Queen Elizabeth Hospital Edgbaston,-1.9362835,52.453272,E01033562,Birmingham 087F,Birmingham 087F,Birmingham 087F,403869.0,283830.0,-1.94449,52.45242,E02001913,Birmingham 087,E38000220,NHS Birmingham and Solihull CCG,E54000055,NHS Birmingham and Solihull Integrated Care Board,E08000025,Birmingham,E54000017,Birmingham and Solihull,,,,E55000008,West Midlands,E12000005,West Midlands,England
B714HJ,Sandwell District Hospital,-1.9878844,52.527357,E01010104,Sandwell 017E,Sandwell 017E,Sandwell 017E,401051.0,291579.0,-1.98593,52.5221,E02002059,Sandwell 017,E38000144,NHS Sandwell and West Birmingham CCG,E54000062,NHS Black Country Integrated Care Board,E08000028,Sandwell,E54000016,The Black Country and West Birmingham,,,,E55000008,West Midlands,E12000005,West Midlands,England
BA13NG,Royal United Hospital Bath,-2.3905661,51.392764,E01014428,Bath and North East Somerset 008B,Bath and North East Somerset 008B,Bath and North East Somerset 008B,373014.0,165767.0,-2.38922,51.39029,E02002992,Bath and North East Somerset 008,E38000009,NHS Bath and North East Somerset CCG,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E06000022,Bath and North East Somerset,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",,,,E55000009,South West,E12000009,South West,England
BA214AT,Yeovil District Hospital,-2.6339071,50.945297,E01029231,South Somerset 014A,South Somerset 014A,South Somerset 014A,355602.0,116961.0,-2.6334,50.95035,E02006088,South Somerset 014,E38000150,NHS Somerset CCG,E54000038,NHS Somerset Integrated Care Board,E07000189,South Somerset,E54000038,Somerset,,,,E55000009,South West,E12000009,South West,England
BB23HH,Royal Blackburn Hospital,-2.4668058,53.736622,E01012632,Blackburn with Darwen 011F,Blackburn with Darwen 011F,Blackburn with Darwen 011F,369969.0,426153.0,-2.45667,53.73091,E02002625,Blackburn with Darwen 011,E38000014,NHS Blackburn with Darwen CCG,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E06000008,Blackburn with Darwen,E54000048,Healthier Lancashire and South Cumbria,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
BD96RJ,Bradford and Airedale SU,-1.7948794,53.805882,E01010810,Bradford 037B,Bradford 037B,Bradford 037B,413481.0,434177.0,-1.79679,53.80373,E02002219,Bradford 037,E38000019,NHS Bradford Districts CCG,E54000054,NHS West Yorkshire Integrated Care Board,E08000032,Bradford,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
BL97TD,Fairfield General Hospital,-2.2553361,53.600505,E01004954,Bury 007A,Bury 007A,Bury 007A,383040.0,411765.0,-2.25776,53.60218,E02001025,Bury 007,E38000024,NHS Bury CCG,E54000057,NHS Greater Manchester Integrated Care Board,E08000002,Bury,E54000007,Greater Manchester Health and Social Care Partnership,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
BN112DH,Worthing Hospital,-0.36432126,50.816758,E01031789,Worthing 011C,Worthing 011C,Worthing 011C,515183.0,102722.0,-0.36642,50.81259,E02006631,Worthing 011,E38000213,NHS Coastal West Sussex CCG,E54000053,NHS Sussex Integrated Care Board,E07000229,Worthing,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
BN212UD,Eastbourne District General Hospital,0.27110748,50.786969,E01020948,Eastbourne 008A,Eastbourne 008A,Eastbourne 008A,559879.0,100543.0,0.266589,50.78242,E02004363,Eastbourne 008,E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",E54000053,NHS Sussex Integrated Care Board,E07000061,Eastbourne,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
BN25BE,Royal Sussex County Hospital,-0.11817668,50.819468,E01016862,Brighton and Hove 031B,Brighton and Hove 031B,Brighton and Hove 031B,532606.0,104046.0,-0.11877,50.82077,E02003521,Brighton and Hove 031,E38000021,NHS Brighton and Hove CCG,E54000053,NHS Sussex Integrated Care Board,E06000043,Brighton and Hove,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
BR68ND,Princess Royal University Hospital HASU,0.059625435,51.365713,E01000751,Bromley 036C,Bromley 036C,Bromley 036C,543288.0,164244.0,0.056632,51.3592,E02000162,Bromley 036,E38000023,NHS Bromley CCG,E54000030,NHS South East London Integrated Care Board,E09000006,Bromley,E54000030,Our Healthier South East London,,,,E55000014,London,E12000007,London,England
BS105NB,North Bristol Hospitals,-2.5929485,51.497333,E01014631,Bristol 004A,Bristol 004A,Bristol 004A,359221.0,177988.0,-2.58885,51.49934,E02003015,Bristol 004,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E06000023,"Bristol, City of",E54000039,"Bristol, North Somerset and South Gloucestershire",,,,E55000009,South West,E12000009,South West,England
BS28HW,University Hospitals Bristol Inpatient Team,-2.596293,51.458886,E01014542,Bristol 032C,Bristol 032C,Bristol 032C,358503.0,173366.0,-2.59865,51.45773,E02003043,Bristol 032,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E06000023,"Bristol, City of",E54000039,"Bristol, North Somerset and South Gloucestershire",,,,E55000009,South West,E12000009,South West,England
BS234TQ,Weston General Hospital,-2.9713986,51.322335,E01014803,North Somerset 025A,North Somerset 025A,North Somerset 025A,331775.0,158219.0,-2.98038,51.31896,E02003089,North Somerset 025,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E06000024,North Somerset,E54000039,"Bristol, North Somerset and South Gloucestershire",,,,E55000009,South West,E12000009,South West,England
CA27HY,Cumberland Infirmary,-2.9552949,54.895745,E01019205,Carlisle 008A,Carlisle 008A,Carlisle 008A,338648.0,556032.0,-2.95812,54.89524,E02003994,Carlisle 008,E38000215,NHS North Cumbria CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E07000028,Carlisle,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000002,North West,England
CB20QQ,Addenbrooke's Hospital,0.13911444,52.173741,E01017995,Cambridge 013D,Cambridge 013D,Cambridge 013D,546958.0,254958.0,0.147649,52.17332,E02003731,Cambridge 013,E38000026,NHS Cambridgeshire and Peterborough CCG,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E07000008,Cambridge,E54000021,Cambridgeshire and Peterborough,,,,E55000006,East of England,E12000006,East of England,England
CF144XW,University Hospital of Wales,-3.1893604,51.506764,W01001770,Cardiff 018B,Caerdydd 018B,Caerdydd 018B,317843.0,179719.0,-3.18525,51.5104,W02000384,Cardiff 018,,,,,W06000015,Cardiff,,,W11000029,Cardiff and Vale University Health Board,Bwrdd Iechyd Prifysgol Caerdydd a’r Fro,,,W92000004,Wales,Wales
CF311RQ,Princess Of Wales Hospital,-3.5716382,51.517676,W01001038,Bridgend 011C,Pen-y-bont ar Ogwr 011C,Pen-y-bont ar Ogwr 011C,291013.0,181014.0,-3.57213,51.5175,W02000228,Bridgend 011,,,,,W06000013,Bridgend,,,W11000030,Cwm Taf Morgannwg University Health Board,Bwrdd Iechyd Prifysgol Cwm Taf Morgannwg,,,W92000004,Wales,Wales
